Country Name,ccode,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,afg,203.6508332063,224.9148690679,257.1756944542,280.2456441069,380.4009551866,384.1316812768,458.9557815858,569.9407287933,622.3796543585,690.842629015,653.347488111,633.9478642946
Albania,alb,1890.6815574354,2416.5882350701,2709.142930562,3005.0129033756,3603.0136853664,4370.5396465315,4114.1365449095,4094.3588319192,4437.8119990258,4247.8398520191,4412.3455781342,4568.5688265083
Algeria,dza,2094.8933075406,2600.0065152971,3102.0373628926,3467.5447388646,3939.5599200749,4912.2519334554,3875.8220953725,4473.4864405386,5447.4039913619,5583.616151757,5492.115803758,5496.0002093743
American Samoa,asm,8914.5254326167,8639.6004184807,8508.5508398599,8457.2363933979,8980.3813208069,9871.8240956673,12058.4782840679,10353.0088431951,10376.7445223805,11660.9629347964,11554.7358142563,11509.1820904138
Andorra,and,31744.2168037792,37233.8319037435,39991.3250691924,42419.4018912335,47255.9552101728,46734.2682819437,42704.0194268188,39641.746008498,41627.4629979063,39666.043036198,42804.2026352761,42804.2026352761
Angola,ago,850.0756941297,1135.6045635509,1576.1628006669,2253.8388500387,3151.0224310529,4242.3630623409,3678.9476544718,3886.4793543252,4744.9876294959,5086.8484258086,5327.1488921923,5232.7623002954
Antigua and Barbuda,atg,10382.6309004545,10993.3692472668,12079.8656950416,13599.908857304,15276.0682646698,15786.1728395062,13979.2626925883,13017.3103875487,12817.8415733094,13525.616220134,13342.0849977054,13432.0792079208
Arab World,arb,2740.9372996712,3145.0086111588,3778.7718468564,4374.4892095366,4979.8461117282,6166.0899500232,5202.1746467936,5956.4355310104,6915.4819185645,7410.8414368118,7516.3132247982,7518.4303015359
Argentina,arg,3330.4286600685,4251.5653466058,5076.8834404197,5878.7818328007,7193.6754117607,8953.4765636173,8161.4601962917,10276.5132733671,12727.2942400407,12970.1739015416,12977.1309231495,12245.6806734551
Armenia,arm,924.4640098178,1181.9684454224,1625.4077691268,2126.6186610718,3080.9709594357,3919.9754738106,2915.5839059087,3124.784017862,3417.1718359992,3565.5175749254,3716.8289225446,3861.9155704446
Australia,aus,23440.0053221856,30440.8548786229,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,62004.7931943463
Austria,aut,32102.9305523558,36693.4026205182,38242.0425174699,40430.993614499,46586.6502529235,51386.3766511975,47654.1872090808,46659.8408181344,51123.5613291663,48333.572726737,50504.7153221994,51322.6399728758
Azerbaijan,aze,883.614008968,1045.0264152764,1578.3673303067,2473.0857763684,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7393.7718769762,7811.6214184582,7886.4591436727
"Bahamas, The",bhs,22008.4337005989,21995.5199216219,23405.8795479327,23721.1562800587,24306.1424243044,23657.365306222,22043.0125711709,21920.5165867583,21514.8986531628,22554.5157201628,22554.4541222366,22497.4497068298
Bahrain,bhr,14541.6160485141,16275.1804236433,18418.0726743768,19669.3195545631,21167.6187062133,23043.0253174017,19166.7082382358,20386.0175551116,22033.9106201625,23057.7675759542,24113.5248437757,24514.9991306142
Bangladesh,bgd,434.0465632334,462.2748798448,485.8528880735,495.8537802011,543.0822631224,618.0758835593,683.6144222723,760.3319352002,838.5478017022,858.9333625876,954.3963997156,1086.8000867694
Barbados,brb,12028.3719341589,12868.8630941907,14223.6581251896,15645.9990270578,16462.2471099718,16570.5593507827,16523.3829717259,15906.1893174632,15534.1733043761,15385.1163692956,15473.0980649523,15360.0618007811
Belarus,blr,1819.525644123,2378.3392066022,3126.0717666525,3848.2159664874,4735.4848267369,6376.1831529846,5176.1726492702,5818.4974109555,6305.6591714623,6721.4833508653,7722.1257979293,8032.4948911285
Belgium,bel,30743.9569254283,35589.7129457001,36967.2829204297,38852.3610339939,44403.8313061102,48424.5892730273,44880.5601517887,44382.8797683492,47699.8070518961,44740.5717021938,46508.1305921633,47346.7573844974
